tier,zone,zone_id,start_day,end_day,start_hour,end_hour,start_ts,end_ts,max_lceq
2,B,eveningParty,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,80
2,B,eveningParty,7,8,12,4,2026-07-26 12:00,2026-07-27 04:00,104
2,B,eveningParty,8,8,4,9,2026-07-27 04:00,2026-07-27 09:00,92
2,C,dayFestive,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,98
2,C,dayFestive,0,1,12,1,2026-07-19 12:00,2026-07-20 01:00,104
2,C,dayFestive,1,1,1,9,2026-07-20 01:00,2026-07-20 09:00,80
2,C,dayFestive,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,98
2,C,dayFestive,1,2,12,1,2026-07-20 12:00,2026-07-21 01:00,104
2,C,dayFestive,2,2,1,9,2026-07-21 01:00,2026-07-21 09:00,80
2,C,dayFestive,2,2,9,12,2026-07-21 09:00,2026-07-21 12:00,98
2,C,dayFestive,2,3,12,1,2026-07-21 12:00,2026-07-22 01:00,104
2,C,dayFestive,3,3,1,9,2026-07-22 01:00,2026-07-22 09:00,80
2,C,dayFestive,3,3,9,12,2026-07-22 09:00,2026-07-22 12:00,98
2,C,dayFestive,3,4,12,1,2026-07-22 12:00,2026-07-23 01:00,104
2,C,dayFestive,4,4,1,9,2026-07-23 01:00,2026-07-23 09:00,80
2,C,dayFestive,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,98
2,C,dayFestive,4,5,12,1,2026-07-23 12:00,2026-07-24 01:00,104
2,C,dayFestive,5,5,1,9,2026-07-24 01:00,2026-07-24 09:00,80
2,C,dayFestive,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,92
2,C,dayFestive,5,6,12,4,2026-07-24 12:00,2026-07-25 04:00,104
2,C,dayFestive,6,6,4,9,2026-07-25 04:00,2026-07-25 09:00,80
2,C,dayFestive,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,92
2,C,dayFestive,6,7,12,4,2026-07-25 12:00,2026-07-26 04:00,104
2,C,dayFestive,7,7,4,9,2026-07-26 04:00,2026-07-26 09:00,80
